"","vigor_id","emmean","SE","df","lower.CL","upper.CL","variable","significant","sp_id"
"114","hot_damaged",50.6413486463251,1.50417922849091,61,47.6335563849752,53.649140907675,"cn","no","Pinpine"
"115","hot_healthy",42.7079207843702,0.642228400706786,56,41.4213827012739,43.9944588674666,"sla_22","no","Pinpine"
"116","hot_damaged",41.5362532509673,0.852473174859414,56,39.8285442753634,43.2439622265712,"sla_22","no","Pinpine"
"117","hot_healthy",119.024390243902,5.28834429929757,61,108.449692257453,129.599088230351,"age","no","Pinpine"
"118","hot_damaged",123.454545454545,7.2193867862999,61,109.018489367459,137.890601541632,"age","no","Pinpine"
"119","hot_healthy",482.400396165105,17.2274536807538,62,447.963206946266,516.837585383944,"chlor_a_fw_22","yes","Pinpine"
"120","hot_damaged",396.627515980655,23.0011262231101,62,350.648919800968,442.606112160341,"chlor_a_fw_22","yes","Pinpine"
"121","hot_healthy",230.719729121729,7.26218944348986,62,216.202819272892,245.236638970566,"chlor_b_fw_22","yes","Pinpine"
"122","hot_damaged",193.779101455485,9.69606647281024,62,174.396940749075,213.161262161895,"chlor_b_fw_22","yes","Pinpine"
"123","hot_healthy",713.120125286834,24.0172627946863,62,665.110301043151,761.129949530518,"total_chl_fw_22","yes","Pinpine"
"124","hot_damaged",590.40661743614,32.0664970756152,62,526.306603130951,654.506631741329,"total_chl_fw_22","yes","Pinpine"
"125","hot_healthy",28.4801442695739,0.784172374426511,62,26.9126060286509,30.047682510497,"xc_fw_22","no","Pinpine"
"126","hot_damaged",25.844473188124,1.04698280425566,62,23.7515843835932,27.9373619926548,"xc_fw_22","no","Pinpine"
"127","hot_healthy",2.10527051026905,0.0357074501071244,62,2.03389233455902,2.17664868597909,"chla_chlb_22","no","Pinpine"
"128","hot_damaged",2.01829352599252,0.0476745770001362,62,1.92299340448263,2.11359364750241,"chla_chlb_22","no","Pinpine"
"129","hot_healthy",25.0074124097354,0.422120831062971,62,24.1636048916941,25.8512199277768,"chl_xc_22","yes","Pinpine"
"130","hot_damaged",22.5560262769422,0.56359196760056,62,21.4294219864798,23.6826305674045,"chl_xc_22","yes","Pinpine"
"131","hot_healthy",-25.3307979732833,0.201720010192429,61,-25.7341620632295,-24.9274338833371,"leaf_d13c","no","Pinpine"
"132","hot_damaged",-24.87752402307,0.275378207940987,61,-25.4281767824624,-24.3268712636775,"leaf_d13c","no","Pinpine"
"133","hot_healthy",-3.72675532282369,0.251633033899788,61,-4.22992667217354,-3.22358397347384,"leaf_d15n","no","Pinpine"
"134","hot_damaged",-4.37086979872892,0.34351700591317,61,-5.05777450559974,-3.6839650918581,"leaf_d15n","no","Pinpine"
"135","hot_healthy",20.3389470694389,0.168993670385156,61,20.0010233404219,20.6768707984559,"leaf_d18o_corrected","no","Pinpine"
"136","hot_damaged",20.1737354087531,0.230701823084585,61,19.7124186022118,20.6350522152944,"leaf_d18o_corrected","no","Pinpine"
"137","hot_healthy",880.886560975609,59.2368354800616,61,762.435187649213,999.337934302006,"mean_1980","no","Pinpine"
"138","hot_damaged",899.964409090909,80.8672059010572,61,738.260436918513,1061.6683812633,"mean_1980","no","Pinpine"
"139","hot_healthy",879.454853658536,62.9436696873126,61,753.591207225655,1005.31850009142,"mean_05","no","Pinpine"
"140","hot_damaged",729.725272727273,85.9275931187325,61,557.902430925206,901.548114529339,"mean_05","no","Pinpine"
"141","hot_healthy",0.645828746264786,0.0281955090871638,61,0.589448341303154,0.702209151226417,"Rt12","no","Pinpine"
"142","hot_damaged",0.634676550417767,0.0384911182435506,61,0.557708802565134,0.711644298270399,"Rt12","no","Pinpine"
"143","hot_healthy",0.736953160288497,0.0293728782912572,61,0.678218460098114,0.795687860478881,"Rt17","no","Pinpine"
"144","hot_damaged",0.734934493781613,0.0400984046064595,61,0.654752778209867,0.815116209353359,"Rt17","no","Pinpine"
"145","hot_healthy",1.39546882720102,0.0777816116296799,61,1.2399348821074,1.55100277229465,"Rt22","no","Pinpine"
"146","hot_damaged",1.25914556242118,0.106183619567094,61,1.04681829239469,1.47147283244767,"Rt22","no","Pinpine"
"147","hot_healthy",1.17128715685532,0.0347824687991894,61,1.10173531190011,1.24083900181053,"Rs12","no","Pinpine"
"148","hot_damaged",1.14411705161085,0.0474833107362375,61,1.04916830356903,1.23906579965268,"Rs12","no","Pinpine"
"149","hot_healthy",0.826504989903556,0.0313841484214277,61,0.763748506525087,0.889261473282024,"Rs17","no","Pinpine"
"150","hot_damaged",0.79161310555657,0.042844091380931,61,0.705941049953582,0.877285161159558,"Rs17","no","Pinpine"
