"","date","plot_id","spei12","year","month","spei18","spei24"
"18292","1966-07-16","OZA03",0.62210351228714,1966,7,-0.0550372786819935,0.398551613092422
"18293","1966-07-16","OZA02",0.62210351228714,1966,7,-0.0550372786819935,0.398551613092422
"18294","1966-07-16","RON01",0.62210351228714,1966,7,-0.0550372786819935,0.398551613092422
"18295","1966-07-16","RON02",0.62210351228714,1966,7,-0.0550372786819935,0.398551613092422
"18296","1966-07-16","RON05",0.62210351228714,1966,7,-0.0550372786819935,0.398551613092422
"18297","1966-07-16","RON04",0.62210351228714,1966,7,-0.0550372786819935,0.398551613092422
"18298","1966-07-16","URZ03",0.62210351228714,1966,7,-0.0550372786819935,0.398551613092422
"18299","1966-07-16","URZ02",0.62210351228714,1966,7,-0.0550372786819935,0.398551613092422
"18300","1966-07-16","URZ01",0.62210351228714,1966,7,-0.0550372786819935,0.398551613092422
"18301","1966-07-16","RON03",0.62210351228714,1966,7,-0.0550372786819935,0.398551613092422
"18302","1966-07-16","RON06",0.62210351228714,1966,7,-0.0550372786819935,0.398551613092422
"18303","1966-07-16","OZA01",0.62210351228714,1966,7,-0.0550372786819935,0.398551613092422
"18304","1966-07-16","FAG01",0.62210351228714,1966,7,-0.0550372786819935,0.398551613092422
"18305","1966-07-16","FAG02",0.62210351228714,1966,7,-0.0550372786819935,0.398551613092422
"18306","1966-07-16","FAG03",0.62210351228714,1966,7,-0.0550372786819935,0.398551613092422
"18307","1966-07-16","FAG04",0.62210351228714,1966,7,-0.0550372786819935,0.398551613092422
"18308","1966-07-16","FAG05",0.62210351228714,1966,7,-0.0550372786819935,0.398551613092422
"18309","1966-08-16","ADO02",0.452615886926651,1966,8,-0.635665833950043,-0.152886599302292
"18310","1966-08-16","ADO03",0.452615886926651,1966,8,-0.635665833950043,-0.152886599302292
"18311","1966-08-16","ADO01",0.452615886926651,1966,8,-0.635665833950043,-0.152886599302292
"18312","1966-08-16","CED01",-0.270138531923294,1966,8,-1.09596002101898,-0.418508052825928
"18313","1966-08-16","CED06",-0.270138531923294,1966,8,-1.09596002101898,-0.418508052825928
"18314","1966-08-16","CED02",-0.270138531923294,1966,8,-1.09596002101898,-0.418508052825928
"18315","1966-08-16","CED03",-0.270138531923294,1966,8,-1.09596002101898,-0.418508052825928
"18316","1966-08-16","CED04",-0.270138531923294,1966,8,-1.09596002101898,-0.418508052825928
"18317","1966-08-16","CED05",-0.270138531923294,1966,8,-1.09596002101898,-0.418508052825928
"18318","1966-08-16","COR04",-0.270138531923294,1966,8,-1.09596002101898,-0.418508052825928
"18319","1966-08-16","COR02",-0.270138531923294,1966,8,-1.09596002101898,-0.418508052825928
"18320","1966-08-16","COR01",-0.270138531923294,1966,8,-1.09596002101898,-0.418508052825928
"18321","1966-08-16","COR03",-0.270138531923294,1966,8,-1.09596002101898,-0.418508052825928
"18322","1966-08-16","COR05",-0.270138531923294,1966,8,-1.09596002101898,-0.418508052825928
"18323","1966-08-16","COR06",-0.270138531923294,1966,8,-1.09596002101898,-0.418508052825928
"18324","1966-08-16","TRA01",0.452615886926651,1966,8,-0.635665833950043,-0.152886599302292
"18325","1966-08-16","TRA04",0.452615886926651,1966,8,-0.635665833950043,-0.152886599302292
"18326","1966-08-16","TRA02",0.452615886926651,1966,8,-0.635665833950043,-0.152886599302292
"18327","1966-08-16","TRA03",0.452615886926651,1966,8,-0.635665833950043,-0.152886599302292
"18328","1966-08-16","ALU07",0.452615886926651,1966,8,-0.635665833950043,-0.152886599302292
"18329","1966-08-16","ALU08",0.452615886926651,1966,8,-0.635665833950043,-0.152886599302292
"18330","1966-08-16","ALU06",0.452615886926651,1966,8,-0.635665833950043,-0.152886599302292
"18331","1966-08-16","ALU01",0.452615886926651,1966,8,-0.635665833950043,-0.152886599302292
"18332","1966-08-16","ALU02",0.452615886926651,1966,8,-0.635665833950043,-0.152886599302292
"18333","1966-08-16","ALU03",0.452615886926651,1966,8,-0.635665833950043,-0.152886599302292
"18334","1966-08-16","ALU04",0.452615886926651,1966,8,-0.635665833950043,-0.152886599302292
"18335","1966-08-16","ALU05",0.452615886926651,1966,8,-0.635665833950043,-0.152886599302292
"18336","1966-08-16","GUA15",1.78447222709656,1966,8,0.909559071063995,0.239924624562263
"18337","1966-08-16","GUA14",1.78447222709656,1966,8,0.909559071063995,0.239924624562263
"18338","1966-08-16","GUA12",1.78447222709656,1966,8,0.909559071063995,0.239924624562263
"18339","1966-08-16","GUA13",1.78447222709656,1966,8,0.909559071063995,0.239924624562263
"18340","1966-08-16","GUA11",1.78447222709656,1966,8,0.909559071063995,0.239924624562263
"18341","1966-08-16","GUA10",1.78447222709656,1966,8,0.909559071063995,0.239924624562263
"18342","1966-08-16","GUA01",1.78447222709656,1966,8,0.909559071063995,0.239924624562263
"18343","1966-08-16","GUA06",1.78447222709656,1966,8,0.909559071063995,0.239924624562263
