"","Group1","Group2","P_value_adjusted","Variable","Tipo"
"276","Abialba_hotspot","Abialba_coldspot",1,"Rt17","vuln"
"277","Pinpine_coldspot","Abialba_coldspot",0.000728214246229846,"Rt17","vuln"
"278","Pinpine_hotspot","Abialba_coldspot",0.0647700675750762,"Rt17","vuln"
"279","Pinsylv_coldspot","Abialba_coldspot",1,"Rt17","vuln"
"280","Pinsylv_hotspot","Abialba_coldspot",0.130877430882198,"Rt17","vuln"
"281","Abialba_hotspot","Abialba_hotspot",NA,"Rt17","vuln"
"282","Pinpine_coldspot","Abialba_hotspot",1.1556759780125e-05,"Rt17","vuln"
"283","Pinpine_hotspot","Abialba_hotspot",0.00128557170413528,"Rt17","vuln"
"284","Pinsylv_coldspot","Abialba_hotspot",1,"Rt17","vuln"
"285","Pinsylv_hotspot","Abialba_hotspot",0.893863133811498,"Rt17","vuln"
"286","Abialba_hotspot","Pinpine_coldspot",NA,"Rt17","vuln"
"287","Pinpine_coldspot","Pinpine_coldspot",NA,"Rt17","vuln"
"288","Pinpine_hotspot","Pinpine_coldspot",1,"Rt17","vuln"
"289","Pinsylv_coldspot","Pinpine_coldspot",7.609917132493e-05,"Rt17","vuln"
"290","Pinsylv_hotspot","Pinpine_coldspot",1.33738486534072e-05,"Rt17","vuln"
"291","Abialba_hotspot","Pinpine_hotspot",NA,"Rt17","vuln"
"292","Pinpine_coldspot","Pinpine_hotspot",NA,"Rt17","vuln"
"293","Pinpine_hotspot","Pinpine_hotspot",NA,"Rt17","vuln"
"294","Pinsylv_coldspot","Pinpine_hotspot",3.91078676589274e-05,"Rt17","vuln"
"295","Pinsylv_hotspot","Pinpine_hotspot",1.19877862116266e-07,"Rt17","vuln"
"296","Abialba_hotspot","Pinsylv_coldspot",NA,"Rt17","vuln"
"297","Pinpine_coldspot","Pinsylv_coldspot",NA,"Rt17","vuln"
"298","Pinpine_hotspot","Pinsylv_coldspot",NA,"Rt17","vuln"
"299","Pinsylv_coldspot","Pinsylv_coldspot",NA,"Rt17","vuln"
"300","Pinsylv_hotspot","Pinsylv_coldspot",0.930415815561763,"Rt17","vuln"
"301","Abialba_hotspot","Abialba_coldspot",1,"Rt22","vuln"
"302","Pinpine_coldspot","Abialba_coldspot",8.49162461792223e-09,"Rt22","vuln"
"303","Pinpine_hotspot","Abialba_coldspot",3.73018789587964e-12,"Rt22","vuln"
"304","Pinsylv_coldspot","Abialba_coldspot",4.04002497746406e-11,"Rt22","vuln"
"305","Pinsylv_hotspot","Abialba_coldspot",8.01982395597607e-10,"Rt22","vuln"
"306","Abialba_hotspot","Abialba_hotspot",NA,"Rt22","vuln"
"307","Pinpine_coldspot","Abialba_hotspot",8.7210816233016e-10,"Rt22","vuln"
